i,vshare_sp,vshare_au,delta_h,db_h,dw_h,s_h,delta_le,db_le,dw_le,s_le,csv_sig_h,csv_sig_le,csv_delta_h,csv_delta_le,csv_p_h,csv_p_le
83,0.2731090153326549,0.15675922449952653,-0.039308207826528614,-0.009857494627968946,-0.02945071319855967,0.25077446093373523,0.014422074234238526,0.02133412682046309,-0.0069120525862245725,0.755292477375257,0.0,0.0,-0.039308,0.014422,0.256872,0.678661
84,0.20648980598143077,0.2882973142713779,0.03291896515440517,0.0350143464625321,-0.0020953813081269618,0.9435355246722213,-0.024812618604746185,-0.033566793065337955,0.008754174460591738,0.7931480546793235,0.0,0.0,0.032919,-0.024813,0.309845,0.46077
85,0.2920980360606518,0.30055540444687334,-0.003847430395146432,-0.03078419096148846,0.026936760566342012,0.5333278497088825,-0.014947736785559027,0.032374634434374806,-0.04732237121993382,0.40622146551906935,0.0,0.0,-0.003847,-0.014948,0.910045,0.65917
86,0.3236114169698259,0.261708927387197,-0.022553928523432437,-0.0018875066333048293,-0.020666421890127594,0.08368859692642028,0.010979467962669772,0.0119067439052551,-0.0009272759425853505,0.9277485968091767,0.0,0.0,-0.022554,0.010979,0.485757,0.742129
87,0.29704885325327585,0.14301025270411155,0.013350614427664654,0.026903516723885343,-0.013552902296220685,0.6649999524306597,-0.03371755967149453,-0.0333215154768369,-0.00039604419465758857,0.9882540670642778,0.0,0.0,0.013351,-0.033718,0.695152,0.307346
88,0.2568445658893195,0.2598759942593961,-0.02743958438767873,0.00044190782642951863,-0.027881492214108235,0.015602216746472523,0.03158371586345077,0.00795067169213726,0.023633044171313473,0.2517332579393524,0.0,0.0,-0.02744,0.031584,0.418291,0.357821
89,0.28740529053339986,0.11817972091506451,0.0061185426921081905,0.009869315866278658,-0.0037507731741704777,0.7246146362897204,-0.04881773742335016,-0.01536423491297054,-0.033453502510379665,0.3147264851652386,0.0,0.0,0.006119,-0.048818,0.845077,0.13993
90,0.28865566762335876,0.15944698069094274,-0.001876215406279604,0.029444664824193993,-0.03132088023047362,0.48456184829255056,-0.012378252691121472,-0.02376514532148949,0.01138689263036797,0.6760673550147246,0.0,0.0,-0.001876,-0.012378,0.957521,0.702649
91,0.3255387331049886,0.2419887404893757,-0.008073548106779415,-0.01135980024446948,0.003286252137690085,0.7756219865980347,0.03430139152093055,0.010710120267902893,0.023591271253027672,0.3122357371819048,0.0,0.0,-0.008074,0.034301,0.812594,0.310845
92,0.21865257531272533,0.42544054318166274,-0.0031473266799677824,0.001795044639493921,-0.00494237131946172,0.26642924385689387,-0.02736111651380503,-0.005355229338729127,-0.02200588717507589,0.19572407931624985,0.0,0.0,-0.003147,-0.027361,0.930535,0.437281
93,0.2918397963898831,0.2580260866518868,-0.06133139847788195,-0.0051227757983208335,-0.05620862267956112,0.08352615341338203,0.03337426566682109,0.013754653522967553,0.019619612143853528,0.41213351809090726,0.0,0.0,-0.061331,0.033374,0.057471,0.305347
94,0.10454362649912917,0.23488703593876042,0.018888883366801487,0.010034485565243854,0.008854397801557602,0.531237626406237,-0.045941230618834386,-0.012149424641045589,-0.033791805977788816,0.26445579444414624,0.0,0.0,0.018889,-0.045941,0.55972,0.163418
95,0.26079551382292904,0.2832513046384646,-0.04766877426549678,-0.0059326971095438295,-0.04173607715595294,0.1244566742266328,0.005536962514800474,0.011013652513567052,-0.005476689998766536,0.6678850063502096,0.0,0.0,-0.047669,0.005537,0.155922,0.85957
96,0.2638942792259244,0.25939207314084667,-0.11899572284561419,-0.0303537699365675,-0.08864195290904665,0.25508286525515445,0.08102457785925304,0.025780965388210595,0.055243612471042425,0.3181869757222858,1.0,1.0,-0.118996,0.081025,0.001,0.013993
