i,sig_h,sig_le,delta_h,delta_le,p_h,p_le
343,0,0,-0.023765,-0.012535,0.464268,0.710645
344,0,0,-0.035750,-0.022380,0.277861,0.480260
345,0,0,0.001764,-0.031722,0.946027,0.331834
346,0,0,-0.017195,-0.030695,0.587706,0.341829
347,0,0,-0.057477,0.030792,0.087456,0.353823
348,0,0,-0.055768,0.014534,0.080460,0.634683
349,0,0,-0.058218,0.035242,0.079460,0.318841
350,0,0,-0.046022,0.014990,0.142929,0.630685
351,0,0,-0.028849,0.003042,0.354823,0.924038
352,0,0,-0.050643,-0.034834,0.114443,0.274863
353,0,0,0.014766,-0.046481,0.664168,0.146427
354,0,0,-0.062357,0.013304,0.073463,0.687156
355,0,0,0.024593,-0.012219,0.441279,0.711144
356,0,0,0.000352,-0.040833,0.994003,0.222389
357,0,0,-0.033374,-0.005972,0.330335,0.851574
358,0,0,0.015409,-0.015096,0.640180,0.669165
359,0,1,0.027954,-0.107358,0.409795,0.002499
360,0,0,0.000312,-0.029949,0.992504,0.376312
361,0,0,-0.006018,-0.012408,0.845577,0.699150
362,0,0,-0.020144,-0.027482,0.553723,0.425787
363,0,0,0.021742,-0.048558,0.503748,0.139930
364,0,0,0.005205,-0.047432,0.878061,0.152424
365,1,0,-0.083549,0.042614,0.011994,0.190905
366,0,0,-0.008556,-0.058269,0.805597,0.081959
367,0,0,0.020781,-0.059348,0.524238,0.075462
368,1,0,-0.096519,0.059503,0.003498,0.080960
369,0,0,-0.040547,-0.015386,0.228886,0.632184
370,0,0,-0.009527,-0.047910,0.754623,0.144428
371,0,0,-0.031431,-0.041847,0.355822,0.215392
372,0,0,-0.045635,-0.012272,0.169415,0.726637
373,0,0,-0.017077,-0.025501,0.602199,0.436782
374,0,0,-0.032095,-0.013264,0.324838,0.692654
375,0,0,0.001810,-0.046127,0.951524,0.174413
376,0,0,0.031664,-0.061942,0.342829,0.067466
377,0,0,-0.009502,0.003936,0.782609,0.903048
378,1,0,-0.065651,0.014341,0.035982,0.670665
379,0,0,0.013669,-0.017982,0.687656,0.584208
380,0,0,0.010652,-0.032309,0.742129,0.335832
381,0,0,-0.036620,-0.019199,0.281859,0.581209
382,0,0,0.009281,-0.026003,0.760620,0.419790
383,0,0,0.016581,-0.024637,0.620190,0.474763
384,0,0,-0.047584,0.038759,0.146427,0.234883
385,0,0,0.058865,-0.036890,0.068966,0.260370
386,0,0,-0.040485,0.008546,0.220890,0.800100
387,0,0,-0.019432,-0.004733,0.534233,0.869065
388,0,0,-0.009776,-0.023337,0.766617,0.473263
389,0,0,0.001561,-0.004904,0.962019,0.892054
390,0,0,0.016586,-0.035835,0.612694,0.293853
391,0,0,-0.038961,-0.005178,0.249375,0.873063
392,0,0,-0.042486,-0.000369,0.194903,0.990005
393,0,0,-0.028704,-0.028398,0.386807,0.393303
394,0,1,0.012451,-0.091073,0.751624,0.007996
395,0,0,-0.030614,0.007506,0.343828,0.820090
396,0,0,-0.003684,-0.002131,0.919040,0.952024
397,0,0,-0.022218,0.005067,0.502749,0.883058
398,0,0,0.020260,-0.049851,0.527736,0.135432
399,0,0,-0.024506,-0.020376,0.467266,0.536732
400,0,0,0.012723,-0.044438,0.712644,0.189405
401,0,1,0.058095,-0.083741,0.070965,0.012994
402,0,0,-0.008257,-0.022305,0.804098,0.502749
403,0,0,0.006873,-0.035665,0.836582,0.283358
404,0,1,0.043546,-0.085804,0.186407,0.010995
405,0,0,0.005692,-0.052133,0.857571,0.147926
406,1,0,-0.074379,0.039805,0.029985,0.237381
407,1,0,-0.068505,0.044465,0.040980,0.181909
408,0,0,0.014686,0.002623,0.670165,0.941029
409,0,0,-0.019797,-0.004831,0.553223,0.887556
410,0,0,0.011998,-0.036614,0.707646,0.262369
411,0,0,-0.016962,-0.000971,0.589205,0.976512
412,0,0,-0.038141,-0.012124,0.238881,0.711644
413,1,0,-0.069622,-0.009267,0.032984,0.786607
414,0,1,0.057246,-0.130768,0.084958,0.000500
415,0,0,-0.049109,0.006767,0.136932,0.830585
416,0,0,-0.024148,-0.028047,0.465267,0.414293
417,0,0,0.017492,-0.046607,0.614193,0.175412
418,0,0,-0.026072,-0.009704,0.420290,0.749625
419,0,0,-0.040232,0.016846,0.227886,0.596202
420,0,0,-0.046204,0.008533,0.157421,0.821089
421,0,0,0.029023,0.000428,0.389305,0.986507
422,0,1,0.024220,-0.080499,0.445277,0.015992
423,0,0,0.018148,-0.032545,0.597201,0.340830
424,0,0,-0.016077,0.009346,0.618691,0.783108
425,0,0,0.021312,-0.006333,0.502249,0.835582
426,0,0,-0.002543,-0.021852,0.938031,0.504748
427,0,0,0.016741,-0.066487,0.606697,0.059970
428,0,0,0.000834,-0.019110,0.985507,0.561219
429,0,0,-0.025699,-0.033770,0.446777,0.309845
430,0,0,-0.016624,-0.039697,0.607196,0.240880
431,0,0,-0.024346,-0.006027,0.478261,0.841579
432,0,0,-0.046848,-0.008141,0.160920,0.819090
433,0,0,-0.011201,-0.029024,0.728136,0.380810
434,0,0,-0.019288,0.011438,0.573213,0.753623
435,0,0,-0.027959,0.008647,0.396802,0.795602
436,0,0,-0.028560,-0.022570,0.386807,0.496752
437,0,0,0.020840,-0.029086,0.530735,0.386807
