date,site,ET_mm_per_day,LE_Wm2,raw_value
2024-04-06,Tarazona,0.5625,15.9525,4.5
2024-04-14,Tarazona,0.6875,19.4975,5.5
2024-04-22,Tarazona,0.7625,21.624499999999998,6.1
2024-04-30,Tarazona,0.7125,20.206500000000002,5.7
2024-05-08,Tarazona,0.95,26.941999999999997,7.6
2024-05-16,Tarazona,1.0375,29.4235,8.3
2024-05-24,Tarazona,0.6625,18.7885,5.3
2024-06-01,Tarazona,0.9375,26.5875,7.5
2024-06-09,Tarazona,1.0625,30.1325,8.5
2024-06-17,Tarazona,0.7,19.851999999999997,5.6
2024-06-25,Tarazona,0.8125,23.0425,6.5
2024-07-03,Tarazona,0.525,14.889000000000001,4.2
2024-07-11,Tarazona,0.5,14.18,4.0
2024-07-19,Tarazona,0.4125,11.6985,3.3
2024-07-27,Tarazona,0.35,9.925999999999998,2.8
2024-08-04,Tarazona,0.4875,13.8255,3.9
2024-08-12,Tarazona,0.4375,12.407499999999999,3.5
2024-08-20,Tarazona,0.375,10.635,3.0
2024-08-28,Tarazona,0.7,19.851999999999997,5.6
2024-09-05,Tarazona,0.4625,13.1165,3.7
2024-09-13,Tarazona,0.7875,22.333499999999997,6.3
2024-09-21,Tarazona,0.7125,20.206500000000002,5.7
2024-09-29,Tarazona,0.5,14.18,4.0
2024-10-07,Tarazona,0.6625,18.7885,5.3
2024-10-15,Tarazona,0.8,22.688000000000002,6.4
2024-10-23,Tarazona,0.75,21.27,6.0
2024-10-31,Tarazona,0.8,22.688000000000002,6.4
2024-11-08,Tarazona,0.7,19.851999999999997,5.6
2024-11-16,Tarazona,0.775,21.979,6.2
2024-11-24,Tarazona,0.7125,20.206500000000002,5.7
2024-12-02,Tarazona,0.75,21.27,6.0
2024-12-10,Tarazona,0.775,21.979,6.2
2024-12-18,Tarazona,0.6125,17.3705,4.9
2024-12-26,Tarazona,0.6125,17.3705,4.9
