date,site,GPP_mgpp,qflag
2019-09-09,Oran,1.5,
2019-09-10,Oran,1.5,
2019-09-11,Oran,1.06,
2019-09-12,Oran,1.06,
2019-09-13,Oran,1.06,
2019-09-14,Oran,1.06,
2019-09-15,Oran,1.06,
2019-09-16,Oran,1.06,
2019-09-17,Oran,1.06,
2019-09-18,Oran,1.06,
2019-09-19,Oran,1.06,
2019-09-20,Oran,1.06,
2019-09-21,Oran,1.8,
2019-09-22,Oran,1.8,
2019-09-23,Oran,1.8,
2019-09-24,Oran,1.8,
2019-09-25,Oran,1.8,
2019-09-26,Oran,1.8,
2019-09-27,Oran,1.8,
2019-09-28,Oran,1.8,
2019-09-29,Oran,1.8,
2019-09-30,Oran,1.8,
2019-10-01,Oran,1.71,
2019-10-02,Oran,1.71,
2019-10-03,Oran,1.71,
2019-10-04,Oran,1.71,
2019-10-05,Oran,1.71,
2019-10-06,Oran,1.71,
2019-10-07,Oran,1.71,
2019-10-08,Oran,1.71,
2019-10-09,Oran,1.71,
2019-10-10,Oran,1.71,
2019-10-11,Oran,1.26,
2019-10-12,Oran,1.26,
2019-10-13,Oran,1.26,
2019-10-14,Oran,1.26,
2019-10-15,Oran,1.26,
2019-10-16,Oran,1.26,
2019-10-17,Oran,1.26,
2019-10-18,Oran,1.26,
2019-10-19,Oran,1.26,
2019-10-20,Oran,1.26,
2019-10-21,Oran,1.09,
2019-10-22,Oran,1.09,
2019-10-23,Oran,1.09,
2019-10-24,Oran,1.09,
2019-10-25,Oran,1.09,
2019-10-26,Oran,1.09,
2019-10-27,Oran,1.09,
2019-10-28,Oran,1.09,
2019-10-29,Oran,1.09,
2019-10-30,Oran,1.09,
2019-10-31,Oran,,
2019-11-01,Oran,1.1,
2019-11-02,Oran,1.1,
2019-11-03,Oran,1.1,
2019-11-04,Oran,1.1,
2019-11-05,Oran,1.1,
2019-11-06,Oran,1.1,
2019-11-07,Oran,1.1,
2019-11-08,Oran,1.1,
2019-11-09,Oran,1.1,
2019-11-10,Oran,1.1,
2019-11-11,Oran,1.08,
2019-11-12,Oran,1.08,
2019-11-13,Oran,1.08,
2019-11-14,Oran,1.08,
2019-11-15,Oran,1.08,
2019-11-16,Oran,1.08,
2019-11-17,Oran,1.08,
2019-11-18,Oran,1.08,
2019-11-19,Oran,1.08,
2019-11-20,Oran,1.08,
2019-11-21,Oran,0.81,
2019-11-22,Oran,0.81,
2019-11-23,Oran,0.81,
2019-11-24,Oran,0.81,
2019-11-25,Oran,0.81,
2019-11-26,Oran,0.81,
2019-11-27,Oran,0.81,
2019-11-28,Oran,0.81,
2019-11-29,Oran,0.81,
2019-11-30,Oran,0.81,
2019-12-01,Oran,0.67,
2019-12-02,Oran,0.67,
2019-12-03,Oran,0.67,
2019-12-04,Oran,0.67,
2019-12-05,Oran,0.67,
2019-12-06,Oran,0.67,
2019-12-07,Oran,0.67,
2019-12-08,Oran,0.67,
2019-12-09,Oran,0.67,
2019-12-10,Oran,0.67,
2019-12-11,Oran,0.59,
2019-12-12,Oran,0.59,
2019-12-13,Oran,0.59,
2019-12-14,Oran,0.59,
2019-12-15,Oran,0.59,
2019-12-16,Oran,0.59,
2019-12-17,Oran,0.59,
2019-12-18,Oran,0.59,
2019-12-19,Oran,0.59,
2019-12-20,Oran,0.59,
2019-12-21,Oran,1.01,
2019-12-22,Oran,1.01,
2019-12-23,Oran,1.01,
2019-12-24,Oran,1.01,
2019-12-25,Oran,1.01,
2019-12-26,Oran,1.01,
2019-12-27,Oran,1.01,
2019-12-28,Oran,1.01,
2019-12-29,Oran,1.01,
2019-12-30,Oran,1.01,
2019-12-31,Oran,,
2020-01-01,Oran,1.01,
2020-01-02,Oran,1.01,
2020-01-03,Oran,1.01,
2020-01-04,Oran,1.01,
2020-01-05,Oran,1.01,
2020-01-06,Oran,1.01,
2020-01-07,Oran,1.01,
2020-01-08,Oran,1.01,
2020-01-09,Oran,1.01,
2020-01-10,Oran,1.01,
2020-01-11,Oran,0.79,
2020-01-12,Oran,0.79,
2020-01-13,Oran,0.79,
2020-01-14,Oran,0.79,
2020-01-15,Oran,0.79,
2020-01-16,Oran,0.79,
2020-01-17,Oran,0.79,
2020-01-18,Oran,0.79,
2020-01-19,Oran,0.79,
2020-01-20,Oran,0.79,
2020-01-21,Oran,0.67,
2020-01-22,Oran,0.67,
2020-01-23,Oran,0.67,
2020-01-24,Oran,0.67,
2020-01-25,Oran,0.67,
2020-01-26,Oran,0.67,
2020-01-27,Oran,0.67,
2020-01-28,Oran,0.67,
2020-01-29,Oran,0.67,
2020-01-30,Oran,0.67,
2020-01-31,Oran,,
2020-02-01,Oran,1.19,
2020-02-02,Oran,1.19,
2020-02-03,Oran,1.19,
2020-02-04,Oran,1.19,
2020-02-05,Oran,1.19,
2020-02-06,Oran,1.19,
2020-02-07,Oran,1.19,
2020-02-08,Oran,1.19,
2020-02-09,Oran,1.19,
2020-02-10,Oran,1.19,
2020-02-11,Oran,1.4,
2020-02-12,Oran,1.4,
2020-02-13,Oran,1.4,
2020-02-14,Oran,1.4,
2020-02-15,Oran,1.4,
2020-02-16,Oran,1.4,
2020-02-17,Oran,1.4,
2020-02-18,Oran,1.4,
2020-02-19,Oran,1.4,
2020-02-20,Oran,1.4,
2020-02-21,Oran,2.14,
2020-02-22,Oran,2.14,
2020-02-23,Oran,2.14,
2020-02-24,Oran,2.14,
2020-02-25,Oran,2.14,
2020-02-26,Oran,2.14,
2020-02-27,Oran,2.14,
2020-02-28,Oran,2.14,
2020-02-29,Oran,2.14,
2020-03-01,Oran,1.94,
2020-03-02,Oran,1.94,
2020-03-03,Oran,1.94,
2020-03-04,Oran,1.94,
2020-03-05,Oran,1.94,
2020-03-06,Oran,1.94,
2020-03-07,Oran,1.94,
2020-03-08,Oran,1.94,
2020-03-09,Oran,1.94,
2020-03-10,Oran,1.94,
2020-03-11,Oran,1.91,
2020-03-12,Oran,1.91,
2020-03-13,Oran,1.91,
2020-03-14,Oran,1.91,
2020-03-15,Oran,1.91,
2020-03-16,Oran,1.91,
2020-03-17,Oran,1.91,
2020-03-18,Oran,1.91,
2020-03-19,Oran,1.91,
2020-03-20,Oran,1.91,
2020-03-21,Oran,1.7,
2020-03-22,Oran,1.7,
2020-03-23,Oran,1.7,
2020-03-24,Oran,1.7,
2020-03-25,Oran,1.7,
2020-03-26,Oran,1.7,
2020-03-27,Oran,1.7,
2020-03-28,Oran,1.7,
2020-03-29,Oran,1.7,
