date,name,source,variable,value
2018-08-15,TzM,CHIRPS,precipitation,0.0
2018-08-16,TzM,CHIRPS,precipitation,3.432619571685791
2018-08-17,TzM,CHIRPS,precipitation,0.4664269983768463
2018-08-18,TzM,CHIRPS,precipitation,1.450138807296753
2018-08-19,TzM,CHIRPS,precipitation,0.0710963532328605
2018-08-20,TzM,CHIRPS,precipitation,7.173641733970726e-07
2018-08-21,TzM,CHIRPS,precipitation,0.0
2018-08-22,TzM,CHIRPS,precipitation,0.0
2018-08-23,TzM,CHIRPS,precipitation,0.0
2018-08-24,TzM,CHIRPS,precipitation,0.0
2018-08-25,TzM,CHIRPS,precipitation,0.0
2018-08-26,TzM,CHIRPS,precipitation,0.0
2018-08-27,TzM,CHIRPS,precipitation,0.0
2018-08-28,TzM,CHIRPS,precipitation,10.16709327697754
2018-08-29,TzM,CHIRPS,precipitation,0.0
2018-08-30,TzM,CHIRPS,precipitation,0.0
2018-08-31,TzM,CHIRPS,precipitation,0.0
2018-09-01,TzM,CHIRPS,precipitation,0.0
2018-09-02,TzM,CHIRPS,precipitation,2.8102896213531494
2018-09-03,TzM,CHIRPS,precipitation,8.430869102478027
2018-09-04,TzM,CHIRPS,precipitation,0.0
2018-09-05,TzM,CHIRPS,precipitation,0.0
2018-09-06,TzM,CHIRPS,precipitation,0.0
2018-09-07,TzM,CHIRPS,precipitation,8.437894821166992
2018-09-08,TzM,CHIRPS,precipitation,0.0
2018-09-09,TzM,CHIRPS,precipitation,8.437894821166992
2018-09-10,TzM,CHIRPS,precipitation,16.875789642333984
2018-09-11,TzM,CHIRPS,precipitation,0.0
2018-09-12,TzM,CHIRPS,precipitation,0.0
2018-09-13,TzM,CHIRPS,precipitation,0.0
2018-09-14,TzM,CHIRPS,precipitation,0.0
2018-09-15,TzM,CHIRPS,precipitation,0.0
2018-09-16,TzM,CHIRPS,precipitation,0.0
2018-09-17,TzM,CHIRPS,precipitation,0.0
2018-09-18,TzM,CHIRPS,precipitation,14.847929000854492
2018-09-19,TzM,CHIRPS,precipitation,0.0
2018-09-20,TzM,CHIRPS,precipitation,0.0
2018-09-21,TzM,CHIRPS,precipitation,0.0
2018-09-22,TzM,CHIRPS,precipitation,0.0
2018-09-23,TzM,CHIRPS,precipitation,0.0
2018-09-24,TzM,CHIRPS,precipitation,0.0
2018-09-25,TzM,CHIRPS,precipitation,0.0
2018-09-26,TzM,CHIRPS,precipitation,0.0
2018-09-27,TzM,CHIRPS,precipitation,0.0
2018-09-28,TzM,CHIRPS,precipitation,0.0
2018-09-29,TzM,CHIRPS,precipitation,0.0
2018-09-30,TzM,CHIRPS,precipitation,0.0
2018-10-01,TzM,CHIRPS,precipitation,0.0
2018-10-02,TzM,CHIRPS,precipitation,0.0
2018-10-03,TzM,CHIRPS,precipitation,0.0
2018-10-04,TzM,CHIRPS,precipitation,0.0
2018-10-05,TzM,CHIRPS,precipitation,0.0
2018-10-06,TzM,CHIRPS,precipitation,0.0
2018-10-07,TzM,CHIRPS,precipitation,0.0
2018-10-08,TzM,CHIRPS,precipitation,0.0
2018-10-09,TzM,CHIRPS,precipitation,0.0
