name,date,product,B8,B4,B11,B3
Oran,2024-03-15,S2,2437.674298679866,1704.3090062912534,3842.970258353957,1243.9117935231013
TzM,2024-03-15,S2,,,,
Oran,2024-04-09,S2,2588.7163521039593,1635.449296101485,3886.8399984529674,1200.7999303836632
TzM,2024-04-09,S2,,,,
Oran,2024-04-09,S2,2598.811236592409,1644.6797261757426,3852.6089366749175,1228.9601639851476
TzM,2024-04-09,S2,3459.0057091720546,1385.0357106446602,3085.320619852964,1038.1411604118762
Oran,2024-04-12,S2,2508.205729166666,1560.3839985561049,3731.8406301567634,1152.8626753300327
TzM,2024-04-12,S2,,,,
Oran,2024-04-12,S2,2516.70813995462,1568.270575495049,3704.768370977722,1177.5436520214519
TzM,2024-04-12,S2,3121.6029746598824,1229.7090474518282,2806.651853781759,898.4458591510997
Oran,2024-04-14,S2,2700.191638304455,1688.6812474216165,3971.9799659653445,1250.6034705033
TzM,2024-04-14,S2,,,,
Oran,2024-04-14,S2,2709.301902846534,1694.7917826938942,3942.8351639851476,1273.3213438531345
TzM,2024-04-14,S2,3459.1883120560924,1318.855367641228,2975.5062075918377,981.3307638283165
Oran,2024-04-17,S2,2451.5169141914184,1532.1699154290425,3786.746841481022,1117.255092306105
TzM,2024-04-17,S2,,,,
Oran,2024-04-17,S2,2462.6978908828382,1541.9766656353127,3758.5306827557743,1142.4361592409236
TzM,2024-04-17,S2,3190.3796202947465,1221.8626060558001,2777.128076892578,884.821033314832
Oran,2024-04-22,S2,2701.982222050329,1765.5456502681507,3575.1855662128696,1467.0534112004946
TzM,2024-04-22,S2,,,,
Oran,2024-04-22,S2,2655.7677134900982,1713.5101072607258,3520.882864067656,1439.6327609323428
TzM,2024-04-22,S2,3312.418191189296,1283.6978386705784,2853.7839067048767,920.5506462465592
Oran,2024-04-24,S2,2839.110922029702,1734.5308245668307,4027.5238887169958,1281.4078485973591
TzM,2024-04-24,S2,,,,
Oran,2024-04-24,S2,2844.524378609735,1730.213219368812,3997.7595271245855,1286.0137041047847
TzM,2024-04-24,S2,3797.5980244452217,1519.0906444341233,3279.424902864779,1097.8121297250761
Oran,2024-05-02,S2,2875.635661613035,1703.5175587871283,3958.375966893563,1300.335512066831
TzM,2024-05-02,S2,,,,
Oran,2024-05-02,S2,2871.726291769801,1699.8004073844875,3921.298125515676,1313.3624690594054
TzM,2024-05-02,S2,1348.847070084618,557.6899319203885,1015.3905855299669,469.64445111521405
Oran,2024-05-04,S2,2751.371557858909,1687.6502552598997,3944.2533132219455,1264.072001340759
TzM,2024-05-04,S2,,,,
Oran,2024-05-07,S2,2645.769196060229,1608.0107518564353,3861.1880930280513,1178.8551722359728
TzM,2024-05-07,S2,,,,
Oran,2024-05-07,S2,2648.8580471328382,1614.381407281353,3835.747305589931,1198.7912154496698
TzM,2024-05-07,S2,3439.5582414843834,1370.193709715787,2935.5191155314396,984.2777670793727
Oran,2024-05-12,S2,2637.6213129125404,1699.4660684818475,4015.8968775783824,1218.8431182962033
TzM,2024-05-12,S2,,,,
Oran,2024-05-14,S2,2994.6323483910887,1936.615421307754,4392.491723391087,1376.9040583745868
TzM,2024-05-14,S2,,,,
Oran,2024-05-14,S2,2985.6746854372923,1944.4198509694706,4349.944010416664,1415.795908106435
TzM,2024-05-14,S2,3958.8481802014057,1578.3723139138417,3348.526427576207,1166.3444986916468
Oran,2024-05-17,S2,2897.77900680693,2096.1773411716167,3487.0703382838265,1791.753906249999
TzM,2024-05-17,S2,,,,
Oran,2024-05-22,S2,2750.1848958333317,1918.770923576732,4202.223829414189,1333.3364789603952
TzM,2024-05-22,S2,,,,
Oran,2024-05-24,S2,3093.472914088283,2160.4536020008245,4721.510661613035,1482.9765496080852
TzM,2024-05-24,S2,,,,
Oran,2024-05-24,S2,3068.550381600658,2147.131987417491,4610.466158725245,1527.558825804455
TzM,2024-05-24,S2,3995.4573681169927,1577.3461355475254,3375.2098970310053,1179.2601468072805
Oran,2024-05-27,S2,2942.6748014645195,2105.4468724216154,4622.089753506597,1449.4135854991753
TzM,2024-05-27,S2,,,,
