date,site,sm_surface_mean,sm_rootzone_mean,n_obs_surface,n_obs_rootzone
2021-05-15,Oran,0.08204873871729997,0.1975926776218121,8,8
2021-05-15,TzM,0.17543620952576588,0.2756519262421582,8,8
2021-05-16,Oran,0.07311186602980381,0.19556846711479248,8,8
2021-05-16,TzM,0.16761164953258179,0.27376048594075986,8,8
2021-05-17,Oran,0.07549288718060387,0.19435724753458966,8,8
2021-05-17,TzM,0.17626952605420035,0.2729503104132355,8,8
2021-05-18,Oran,0.08441118135071188,0.19360020433659433,8,8
2021-05-18,TzM,0.18459687092476276,0.27244538530143664,8,8
2021-05-19,Oran,0.07849645134458527,0.19219135257308598,8,8
2021-05-19,TzM,0.16865356812425153,0.27035190080488586,8,8
2021-05-20,Oran,0.07863825937336093,0.19122916828291334,8,8
2021-05-20,TzM,0.16238401044392953,0.2687708297928207,8,8
2021-05-21,Oran,0.06764416024088857,0.18958833894280133,8,8
2021-05-21,TzM,0.15595495106505325,0.26713452174475316,8,8
2021-05-22,Oran,0.06206856833648726,0.18814349623977158,8,8
2021-05-22,TzM,0.15471490948326197,0.26581666657799163,8,8
2021-05-23,Oran,0.19422233285015966,0.20050996633582427,8,8
2021-05-23,TzM,0.2655315047748828,0.2763006410402196,8,8
2021-05-24,Oran,0.21041593251780405,0.2187965166434401,8,8
2021-05-24,TzM,0.27862535420143486,0.2941285381583791,8,8
2021-05-25,Oran,0.18182209552433645,0.21726560876628412,8,8
2021-05-25,TzM,0.2486241058213636,0.2907615931410538,8,8
2021-05-26,Oran,0.15951896550469707,0.2129916183223001,8,8
2021-05-26,TzM,0.2314259539738199,0.28646227916531064,8,8
2021-05-27,Oran,0.1500590390235674,0.20979653474737384,8,8
2021-05-27,TzM,0.20758048190098055,0.2824113848741705,8,8
2021-05-28,Oran,0.1623163429134693,0.20848790339392714,8,8
2021-05-28,TzM,0.2203955651309929,0.2806857765198832,8,8
2021-05-29,Oran,0.128438475828801,0.20499901508942978,8,8
2021-05-29,TzM,0.18297978224367584,0.2758705636216818,8,8
2021-05-30,Oran,0.11030566771743726,0.20140964580608192,8,8
2021-05-30,TzM,0.16156092856238644,0.2714868593764932,8,8
2021-05-31,Oran,0.1323719825778828,0.20079290828988197,8,8
2021-05-31,TzM,0.18469035566637387,0.2708654630512587,8,8
2021-06-01,Oran,0.1133738561457053,0.19814677731301938,8,8
2021-06-01,TzM,0.19844425402544927,0.27065202806414546,8,8
2021-06-02,Oran,0.10276328761924483,0.19617092034733685,8,8
2021-06-02,TzM,0.2271683657247769,0.2723133509402702,8,8
2021-06-03,Oran,0.11060235233763686,0.19535483671504938,8,8
2021-06-03,TzM,0.21087006881440937,0.2707219513402761,8,8
2021-06-04,Oran,0.10589170153329114,0.1943922228866913,8,8
2021-06-04,TzM,0.2017185110598802,0.26935418518750287,8,8
2021-06-05,Oran,0.13575884261031126,0.1959693173648881,8,8
2021-06-05,TzM,0.23127436806374277,0.27103599331243644,8,8
2021-06-06,Oran,0.19141648932070027,0.20471441464834522,8,8
2021-06-06,TzM,0.2713288521075523,0.28323199521554143,8,8
2021-06-07,Oran,0.16316129777763705,0.20345660921369418,8,8
2021-06-07,TzM,0.24580888874755286,0.28306286975030637,8,8
2021-06-08,Oran,0.14304859907534276,0.20040708055383843,8,8
2021-06-08,TzM,0.21504726956941578,0.27863245977603485,8,8
2021-06-09,Oran,0.13110539092086862,0.19731336770976174,8,8
2021-06-09,TzM,0.18888299451454685,0.2743045988272091,8,8
2021-06-10,Oran,0.10878939436840226,0.19388873973464377,8,8
2021-06-10,TzM,0.1767609092946115,0.2707025983530146,8,8
2021-06-11,Oran,0.1059794324282251,0.19224601023998414,8,8
2021-06-11,TzM,0.18586863940091505,0.26888244612583595,8,8
2021-06-12,Oran,0.11469135279843552,0.19114822881510019,8,8
2021-06-12,TzM,0.23164594830258894,0.27088047619786504,8,8
2021-06-13,Oran,0.1045219908575298,0.18928540169459873,8,8
2021-06-13,TzM,0.19975073145408376,0.2681647878213736,8,8
2021-06-14,Oran,0.09412047132605408,0.1875845210412975,8,8
2021-06-14,TzM,0.18256100375009207,0.26582854636332115,8,8
2021-06-15,Oran,0.09044435902758208,0.1863956210188201,8,8
2021-06-15,TzM,0.16751840911915913,0.2633692488245862,8,8
2021-06-16,Oran,0.13015650867133355,0.18820319146406453,8,8
2021-06-16,TzM,0.19445714332151076,0.26390858543546575,8,8
2021-06-17,Oran,0.2368902481237396,0.21456151596102557,8,8
2021-06-17,TzM,0.319656143259061,0.2964643622307401,8,8
2021-06-18,Oran,0.19230168370194117,0.21557719221979865,8,8
2021-06-18,TzM,0.2790876329251516,0.29958490341117505,8,8
2021-06-19,Oran,0.1939186409970776,0.21327398542742257,8,8
2021-06-19,TzM,0.2635201988864298,0.29271092932475234,8,8
2021-06-20,Oran,0.18490566249142903,0.21123749108099546,8,8
2021-06-20,TzM,0.2618697991496638,0.28946176975181226,8,8
2021-06-21,Oran,0.15640428455882383,0.20747285123731266,8,8
2021-06-21,TzM,0.23592363924743895,0.2853737345737356,8,8
2021-06-22,Oran,0.12896393223009145,0.2036484907946137,8,8
2021-06-22,TzM,0.2078937912653935,0.2810454576116937,8,8
2021-06-23,Oran,0.12160483530921032,0.20120259596065418,8,8
2021-06-23,TzM,0.21027685652830097,0.278764990507625,8,8
2021-06-24,Oran,0.11350923071874945,0.19889345028605615,8,8
2021-06-24,TzM,0.19778578610796674,0.27612322719620636,8,8
2021-06-25,Oran,0.09531744878250553,0.19591729836385754,8,8
2021-06-25,TzM,0.1762398127160084,0.2725050353910774,8,8
2021-06-26,Oran,0.08534622916066249,0.19331566635213912,8,8
2021-06-26,TzM,0.16809424298729647,0.26940917302119105,8,8
2021-06-27,Oran,0.0884607279612148,0.1915257030395699,8,8
2021-06-27,TzM,0.1698845824238991,0.26742511474846026,8,8
2021-06-28,Oran,0.07433074198235738,0.18899986867899773,8,8
2021-06-28,TzM,0.15875132390187657,0.26494740058153277,8,8
2021-06-29,Oran,0.068259500802235,0.1871080188233344,8,8
