site,subsystem,n_years,n_syn,n_red,syn_frac,mean_z
JP-Yms,"エネルギー Rg,Ta,γH,γLE",6,0,6,0.0,24.127469797906077
JP-Ynf,"呼吸制御 Rg,Ta,θ,GER",8,4,2,0.5,-1.5153991054902953
JP-Ynf,"蒸発制御 Rg,VPD,θ,γLE",8,0,7,0.0,17.017001965909373
JP-Ynf,"光合成制御 Rg,Ta,VPD,GEP",8,0,8,0.0,46.259587587918745
JP-Ynf,"炭素コア Rg,GEP,GER,NEE",8,0,8,0.0,29.767267430535533
JP-Ynf,"土壌熱 Ta,Ts,θ,GER",8,5,3,0.625,-2.8133861473220105
JP-Ynf,"エネルギー Rg,Ta,γH,γLE",8,0,8,0.0,51.85057150671458
MN-Hst,"呼吸制御 Rg,Ta,θ,GER",4,3,0,0.75,-2.378792563958229
MN-Hst,"蒸発制御 Rg,VPD,θ,γLE",4,0,1,0.0,1.4531174086208893
MN-Hst,"光合成制御 Rg,Ta,VPD,GEP",4,0,4,0.0,16.474316822167683
MN-Hst,"炭素コア Rg,GEP,GER,NEE",4,0,4,0.0,25.84206598243047
MN-Hst,"土壌熱 Ta,Ts,θ,GER",4,0,4,0.0,7.22386221132698
MN-Hst,"エネルギー Rg,Ta,γH,γLE",4,0,2,0.0,3.659924685948814
MN-Kbu,"呼吸制御 Rg,Ta,θ,GER",5,5,0,1.0,-7.824788798872582
MN-Kbu,"蒸発制御 Rg,VPD,θ,γLE",5,2,1,0.4,-1.1450872240603314
MN-Kbu,"光合成制御 Rg,Ta,VPD,GEP",5,0,5,0.0,18.607847312571373
MN-Kbu,"炭素コア Rg,GEP,GER,NEE",5,0,5,0.0,25.244915682526152
MN-Kbu,"土壌熱 Ta,Ts,θ,GER",5,0,4,0.0,8.42921988317422
MN-Kbu,"エネルギー Rg,Ta,γH,γLE",5,0,4,0.0,6.215400531798294
MN-Nkh,"呼吸制御 Rg,Ta,θ,GER",5,5,0,1.0,-10.199098415007342
MN-Nkh,"蒸発制御 Rg,VPD,θ,γLE",5,0,4,0.0,5.778445088237933
MN-Nkh,"光合成制御 Rg,Ta,VPD,GEP",5,0,5,0.0,12.7848635406362
MN-Nkh,"炭素コア Rg,GEP,GER,NEE",5,0,5,0.0,26.36793389805024
MN-Nkh,"土壌熱 Ta,Ts,θ,GER",5,2,2,0.4,-0.35849058904159836
MN-Nkh,"エネルギー Rg,Ta,γH,γLE",5,0,4,0.0,15.192064605619924
MN-Skt,"呼吸制御 Rg,Ta,θ,GER",4,4,0,1.0,-10.128732765102134
MN-Skt,"蒸発制御 Rg,VPD,θ,γLE",4,0,3,0.0,4.545086906306471
MN-Skt,"光合成制御 Rg,Ta,VPD,GEP",4,0,4,0.0,15.84566511515656
MN-Skt,"炭素コア Rg,GEP,GER,NEE",4,0,4,0.0,33.26064429233244
MN-Skt,"土壌熱 Ta,Ts,θ,GER",4,1,2,0.25,7.62903620493268
MN-Skt,"エネルギー Rg,Ta,γH,γLE",4,0,4,0.0,21.290889182289757
RU-Ege,"呼吸制御 Rg,Ta,θ,GER",8,4,2,0.5,-1.7267495127681889
RU-Ege,"蒸発制御 Rg,VPD,θ,γLE",8,0,7,0.0,10.019445559059672
RU-Ege,"光合成制御 Rg,Ta,VPD,GEP",8,0,8,0.0,15.021790449613842
RU-Ege,"炭素コア Rg,GEP,GER,NEE",8,0,7,0.0,12.711314718071307
RU-Ege,"土壌熱 Ta,Ts,θ,GER",8,0,7,0.0,16.13539196407841
RU-Ege,"エネルギー Rg,Ta,γH,γLE",8,0,8,0.0,28.37309240328182
RU-SkP,"呼吸制御 Rg,Ta,θ,GER",7,6,0,0.8571428571428571,-5.214541555298118
RU-SkP,"蒸発制御 Rg,VPD,θ,γLE",7,0,4,0.0,6.590523605723498
RU-SkP,"光合成制御 Rg,Ta,VPD,GEP",7,0,7,0.0,13.678096932310922
RU-SkP,"炭素コア Rg,GEP,GER,NEE",7,1,4,0.14285714285714285,5.413616308276523
RU-SkP,"土壌熱 Ta,Ts,θ,GER",7,2,3,0.2857142857142857,4.370826019084953
RU-SkP,"エネルギー Rg,Ta,γH,γLE",7,0,7,0.0,20.93987985962753
RU-Tur,"呼吸制御 Rg,Ta,θ,GER",1,0,1,0.0,3.8033325872437427
RU-Tur,"蒸発制御 Rg,VPD,θ,γLE",1,0,1,0.0,2.9067188668425836
RU-Tur,"光合成制御 Rg,Ta,VPD,GEP",1,0,0,0.0,0.8209867130115175
RU-Tur,"炭素コア Rg,GEP,GER,NEE",1,0,0,0.0,2.0745212609300245
RU-Tur,"土壌熱 Ta,Ts,θ,GER",1,0,1,0.0,14.161164595517576
RU-Tur,"エネルギー Rg,Ta,γH,γLE",1,0,1,0.0,11.719597073804506
TH-Mae,"呼吸制御 Rg,Ta,θ,GER",8,5,2,0.625,2.650017202644422
TH-Mae,"蒸発制御 Rg,VPD,θ,γLE",8,0,8,0.0,13.515707517781784
TH-Mae,"光合成制御 Rg,Ta,VPD,GEP",8,0,8,0.0,26.044697961068415
TH-Mae,"炭素コア Rg,GEP,GER,NEE",8,0,8,0.0,13.341427089776534
TH-Mae,"土壌熱 Ta,Ts,θ,GER",8,0,8,0.0,15.567185897692397
TH-Mae,"エネルギー Rg,Ta,γH,γLE",8,0,8,0.0,42.00457400727001
